node	degree	flag
114785	1	0
114784	5	0
114783	1	0
221545	2	0
114781	2	0
114780	1	0
28996	56	0
28991	4	0
148156	1	0
28999	2	0
28998	79	0
55293	28	0
55290	59	0
55291	20	0
55296	2	0
55297	8	0
55294	34	0
51268	1	0
5982	45	0
5983	23	0
51265	12	0
55299	111	0
51263	78	0
5987	291	0
5984	36	0
51260	6	0
55614	1	0
83896	1	0
55615	5	0
128872	2	0
128876	1	0
53904	2	0
83899	56	0
57484	10	0
378465	2	0
6794	55	0
6795	1	0
6792	5	0
6793	4	0
6790	65	0
221687	1	0
57486	1	0
6799	8	0
56122	4	0
28990	1	0
57292	2	0
270	1	0
271	3	0
272	1	0
55835	16	0
55832	16	0
275	11	0
276	7	0
55831	1	0
278	6	0
279	3	0
55839	13	0
124944	1	0
1371	1	0
81855	3	0
196074	1	0
100294114	5	0
63027	4	0
9529	13	0
57474	20	0
9525	9	0
9526	7	0
9527	18	0
9252	71	0
57471	2	0
9522	16	0
57473	66	0
5989	17	0
1370	1	0
441362	4	0
84126	27	0
84124	2	0
84125	1	0
353267	4	0
255101	1	0
55295	2	0
727897	5	0
55578	4	0
26020	1	0
64902	1	0
51266	1	0
5980	5	0
5981	61	0
220766	9	0
22874	2	0
147872	69	0
22870	7	0
22871	6	0
22872	11	0
22873	2	0
5985	32	0
22878	4	0
22879	6	0
84699	9	0
138046	22	0
84690	1	0
3512	2	0
84693	6	0
3516	41	0
84696	1	0
3514	11	0
2688	87	0
2689	1	0
2686	6	0
2687	2	0
90993	28	0
2683	20	0
98	11	0
112950	51	0
90	65	0
93	21	0
92	23	0
95	7	0
94	10	0
97	9	0
134553	1	0
256297	1	0
83478	4	0
83475	1	0
83473	1	0
158800	1	0
133522	11	0
29765	1	0
29767	2	0
29766	11	0
29761	22	0
29760	32	0
29763	36	0
1176	17	0
1175	9	0
1174	19	0
157922	4	0
23509	3	0
3439	8	0
23054	78	0
23057	9	0
23504	1	0
23503	19	0
1179	4	0
23500	10	0
1006	1	0
169026	1	0
29925	9	0
79843	30	0
29923	1	0
514	15	0
29109	32	0
7189	422	0
388677	236	0
7180	1	0
7181	12	0
7182	24	0
29102	27	0
29105	130	0
7185	219	0
29107	9	0
7187	55	0
91687	43	0
875	31	0
622	4	0
158471	2	0
79848	4	0
8548	42	0
8019	5	0
8545	8	0
8544	4	0
8546	35	0
8013	5	0
8540	3	0
8543	54	0
8542	3	0
7456	27	0
7454	81	0
7453	11	0
7450	17	0
2740	11	0
624	21	0
2035	139	0
7458	7	0
23657	3	0
2742	3	0
2745	8	0
629	6	0
4597	18	0
55339	15	0
55629	20	0
55628	3	0
65084	15	0
2747	5	0
374920	1	0
55331	1	0
55330	19	0
55333	11	0
55332	2	0
55335	1	0
55626	7	0
55337	33	0
55624	1	0
10884	77	0
84901	2	0
10886	3	0
84904	4	0
84905	6	0
84908	1	0
23122	12	0
144347	3	0
6536	4	0
50674	3	0
2318	40	0
221154	2	0
154865	19	0
8292	3	0
4842	50	0
81537	1	0
151568	4	0
6532	6	1
2038	16	0
2314	14	0
127733	3	0
65268	6	0
65264	35	0
65265	39	0
65266	10	0
65267	1	0
65263	10	0
393	2	0
392	24	0
391	19	0
390	6	0
397	13	0
396	55	0
394	13	0
399	11	0
398	8	0
2309	43	0
2308	40	0
4729	55	0
4728	55	0
4725	57	0
4724	52	0
2303	5	0
4726	57	0
2305	8	0
2304	1	0
2307	2	0
4722	58	0
11283	29	0
11282	5	0
11285	4	0
11284	25	0
161829	1	0
3749	3	0
3746	7	0
3747	1	0
3744	1	0
3745	14	0
3741	7	0
4620	8	0
414060	1	0
4622	5	0
414062	2	0
4624	1	0
4625	9	0
4626	3	0
4627	60	0
4628	46	0
4629	9	0
116337	1	0
57663	1	0
57662	5	0
57665	8	0
57664	5	0
57667	1	0
57669	2	0
2300	1	0
51106	4	0
51107	8	0
51105	1	0
51102	5	0
51103	20	0
51100	29	0
63908	15	0
63905	1	0
63904	2	0
51108	1	0
51109	12	0
790955	1	0
178	10	0
177	9	0
176	16	0
175	6	0
174	8	0
172	2	0
113146	2	0
80108	8	0
200558	14	0
202	1	0
57085	90	0
10391	5	0
10392	18	0
10393	21	0
10395	3	0
5607	33	0
10397	70	0
10398	14	0
10399	150	0
57088	42	0
100130892	1	0
55837	3	0
7214	3	0
7216	5	0
6217	183	0
273	31	0
6210	258	0
274	38	0
54413	6	0
6218	129	0
6818	12	0
90102	3	0
6811	34	0
6810	50	0
6813	14	0
6812	31	0
6815	1	0
6814	16	0
6817	14	0
9757	36	0
56925	15	0
9755	4	0
9753	13	0
10579	10	0
9751	1	0
9750	7	0
10574	46	0
10575	36	0
10576	42	0
10577	2	0
10570	7	0
10572	9	0
10573	91	0
24144	252	0
24145	1	0
24142	2	0
55011	7	0
24140	93	0
24148	174	0
8848	146	0
8840	3	0
8841	116	0
8842	3	0
8844	10	0
253260	20	0
26330	8	0
56927	3	0
80817	44	0
3579	26	0
493829	2	0
80818	1	0
160065	4	0
149465	1	0
149461	2	0
56926	6	0
197335	1	0
346389	1	0
1762	37	0
1760	17	0
1761	1	0
1767	1	0
285074	4	0
283768	1	0
63932	2	0
1544	29	1
1545	30	1
58538	3	0
1543	31	1
694	11	0
695	89	0
11113	12	0
11112	5	0
11117	17	0
58533	21	0
284307	1	0
8711	4	0
8712	1	0
283464	4	0
8714	2	1
8715	9	0
283461	1	0
8717	72	0
8718	11	0
79707	4	0
79705	5	0
63935	3	0
10251	1	0
340273	1	0
55102	2	0
55103	4	0
5618	21	0
5619	2	0
65982	1	0
55107	1	0
5612	8	0
170685	4	0
5610	51	0
55109	8	0
170680	1	0
5617	4	0
7884	6	0
55069	2	0
