side.effect	targets	n.target	k.target.med	k.target.mean	n.drug
Hepatic necrosis	213|1559|4535|7153|2890|27032|3736|513|1571|9356	10	15.000000	41.300000	57
Cardiac failure	1551|5159|153|3815|7153|5243|9429|6331	8	17.500000	39.625000	157
Musculoskeletal stiffness	1814|25|1544|1557|1812|1815|1559|1565|5732|5243|1576|3356|6532|3350|3352|1551|3351|3358|6329	19	8.000000	26.526316	95
Recall phenomenon	7153|7155|5447|5243|978|9429|1244|6240|10928	9	18.000000	31.000000	14
Jaundice	152|213|7153|3757|59340|3274|5743|6532|3736|1814|1815|1544|1812|1813|7364|3362|3363|9429|1565|146|147|9356|5004|1133|1132|1816|148|54658|3354|3356|240|3269|3359|3358|1551|1557|1559|1558|5742|5243|1244|8647|1576|3350	44	7.000000	15.022727	245
Dizziness	1551|1544|1557|1559|54658|5243|1565|1576	8	9.500000	13.125000	634
Hyperbilirubinaemia	1551|1633|3614|1559|5243|9429|1576	7	9.000000	10.142857	97
Cogwheel rigidity	1128|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3350|3352|3269|3359|3358|1551|801	27	7.000000	14.592593	16
Decreased appetite	1551|1544|1557|762|7153|760|7364|54658|5243|1565|9429|1559|5742|1244|1558|759|1576	17	7.000000	16.529412	453
Sleep apnoea syndrome	1814|1815|152|1812|1813|148|1576|3356|3350|3352|3269|3358	12	9.500000	10.666667	17
Gingival hyperplasia	775|774|776|3614|3615|773|783|9254|779|5243|54577|8912|6326|8911|6323|6331|1551|801|1576|2326	20	7.000000	21.250000	22
Gastrointestinal haemorrhage	213|1559|5243|9429|5742|5743	6	17.500000	39.166667	152
Libido decreased	150|152|6532|6530|6531|1636|1813|3362|4986|367|1565|146|147|5004|1133|9254|148|3356|3350|3269|3358|1551|1557|1559|5243|8912|1576	27	7.000000	16.407407	157
Infestation	1551|28234|3815|1576|9429|8856	6	9.000000	18.333333	203
Hyperphagia	1128|1814|151|152|1812|1815|1565|1813|148|1576|3354|147|3356|3350|3352|3269|3358	17	8.000000	8.941176	7
Pseudomembranous colitis	6565|1595|7153|9356|6584	5	4.000000	27.400000	38
Masked facies	1128|151|152|150|59340|3274|1814|1815|1816|1812|1813|3362|3363|1565|147|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	27	6.000000	7.222222	10
Hypotension	1814|1815|152|1812|1813|1131|3362|1565|59340|3356|5243|1562|3350|3359|3358|6331	16	8.500000	9.375000	426
Dyspepsia	1551|1557|1559|1558|5243|1565|5742|1576	8	9.500000	12.250000	453
Arthralgia	1551|1544|1545|1636|1557|1559|1558|316|5243|1565|9429|1633|1244|3352|10599|1576	16	7.000000	12.250000	361
Ileus paralytic	1128|1129|152|155|150|3751|3752|59340|6532|6530|6531|6609|1816|1812|1813|3362|3363|203068|4985|4986|4988|1565|146|147|773|5004|1133|1132|1131|148|3356|3350|3269|3358|5243|50632|801	37	7.000000	18.432432	41
Angiopathy	1814|1551|5243|1565|9429|1576	6	9.000000	9.166667	271
Chills	1551|213|7153|54658|5243|9429|3352|1576	8	9.000000	39.625000	278
Diarrhoea	1551|1557|1559|1558|5243|1565|9429|5742|1244|1576	10	7.000000	10.700000	593
Gastrointestinal perforation	1436|2322|2321|7363|5743|9356|5004|1559|2324|3791|54658|3815|5156|9429|5742|1956|5159|596|8856|213	20	20.500000	53.250000	18
Embolism	1551|5159|1588|1545|1543|3815|7298|6462|2908|10928|5243|9429|1244|2328|2100|2099|1576	17	30.000000	57.823529	67
Neuralgia	1551|1557|596|1559|1576|1565	6	9.500000	27.333333	70
Gynaecomastia	1128|1129|152|147|3751|3752|3757|59340|3274|776|6532|6530|6531|6609|25|1814|1815|1544|775|1812|1813|6579|7364|3362|3363|9429|367|1562|9254|6583|774|151|6580|3815|1133|1132|1131|779|1816|148|54658|3354|3356|146|3156|3352|3269|3359|3358|55867|150|1557|783|1559|1558|6462|5004|5243|1565|8912|1244|1551|5159|801|1576|3350	66	6.000000	21.181818	130
Disturbance in attention	150|152|6532|6530|6531|1814|1815|1544|1812|1813|3363|4986|1565|147|1816|148|3356|3351|3350|3352|3269|3358|1551|3786|1557|3785|1576	27	8.000000	10.333333	89
Eye disorder	1551|1544|1559|5243|1565|9429|1576	7	7.000000	11.000000	259
Dermatitis exfoliative	1551|1544|213|1559|54600|5742|5743|55867|9356	9	7.000000	28.222222	155
Menstruation irregular	1814|1815|1545|1812|1813|1558|6462|2908|1586|5241|6579|1551|5243|3356|148|3269|367|1576|2099|1565|3350	21	14.000000	47.809524	59
Restless legs syndrome	1128|151|4544|152|150|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1565|147|3815|1133|1132|1816|148|3354|3356|3350|3352|3269|4543|3359|3358|1551|25|1576	33	7.000000	19.939394	23
Nightmare	1128|1129|153|152|154|150|706|151|6532|2567|6530|6531|3363|2569|1815|1544|1812|1813|2561|2560|2563|2562|2565|1557|3362|2566|1565|146|147|1139|5004|1133|1132|1131|1137|1816|148|5243|3357|3356|3351|3350|3352|3269|3359|3358|2555|1551|1644|2554|2898|2556|2557|1559|2559|2891|2570|1814|1571|1576	60	8.000000	10.566667	117
Nervous system disorder	1551|9429|1576|5243|1565	5	6.000000	8.200000	376
Rash	1551|1559|1558|5243|9429|1548|1576	7	7.000000	7.714286	658
Cold sweat	4988|1576|4985|1565|4986	5	12.000000	13.600000	35
Seborrhoeic dermatitis	1814|1815|1816|152|1812|1813|1565|5243|1576|9429|3354|3356|3352|367|3358	15	7.000000	22.933333	65
Alkalosis	3614|3615|54600|7364|54577|213	6	16.500000	38.666667	9
Bradykinesia	1814|1815|151|152|1812|1813|873|148|1565|3356|3362|3352|3269|1551|3358|3350	16	7.500000	9.312500	16
Ecchymosis	1551|25|1544|213|1557|1559|64805|7364|5243|9429|54575|5742|5743	13	22.000000	50.230769	126
Arthropathy	1551|1559|5243|1565|9429|3354|3352|1576	8	6.000000	7.125000	100
Vasculitis	1244|213|1557|1559|1558|6579|7364|1548|9429|5742|5743|5243|9356|10599|240	15	7.000000	21.800000	113
Menorrhagia	1814|1815|1816|152|1557|1812|1813|1559|3362|3363|3354|3356|5243|3352|3269|1551|1576|3358|3350	19	7.000000	10.000000	77
Musculoskeletal pain	1551|25|3815|2224|5243|9429|3156|8647|1576	9	12.000000	48.444444	98
Lower respiratory tract infection	1436|1814|151|152|1812|1815|150|5156|3354|3351|3350|3352|1551|3358	14	7.500000	10.928571	25
Arrhythmia	3736|1544|7153|1565|5243	5	17.000000	32.000000	281
Hyperuricaemia	25|7498|6557|3614|3615|3815|760|2030|7153|6559|5243|5422|9429|1633|185|6240|2950	17	17.000000	40.411765	102
Urethral disorder	1551|1559|5243|1565|9429|1576	6	6.500000	8.000000	250
Chest pain	1551|1544|1559|1558|7153|5243|1565|9429|1576	9	7.000000	20.666667	351
Abdominal discomfort	1551|1815|3351|54658|3352	5	6.000000	6.000000	183
Thinking abnormal	2569|2570|1544|2554|2555|2556|2561|2560|706|2562|2565|1557|5243|2566|54576|2567|1576|2563	18	12.500000	13.555556	96
Enuresis	151|1129|152|150|1814|1815|1812|1813|3362|3363|147|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|6330|1576	26	7.500000	8.192308	24
Nail disorder	1551|5159|1545|1543|5004|7298|1558|3815|5243|8856|9429|1559|1956|1890|1576	15	17.000000	46.733333	59
Gastrooesophageal reflux disease	1128|1551|3815|1131|8654|5243|1565|9429|4985|3352|1576|2224	12	10.000000	15.916667	94
Disorientation	1128|1129|153|155|154|6532|2567|6530|6531|2569|1544|1813|2561|2560|2563|2562|2565|1557|3362|2566|4985|4986|4988|1565|146|5004|1133|1132|1131|5243|3356|3350|3269|3358|1551|2555|2556|2557|1559|2559|2570|1576	42	8.000000	11.642857	134
Hydronephrosis	2280|2475|54577|3614|3615	5	23.000000	24.400000	15
Hypertrophic cardiomyopathy	301|6579|2908|1576|5243	5	17.000000	67.800000	9
Peritonitis	2280|2475|54577|3614|3615	5	23.000000	24.400000	15
Goitre	3357|6532|1576|1557|1565	5	6.000000	10.600000	29
Vasospasm	3355|3357|54577|3351|3350|3352	6	5.000000	5.000000	26
Myocardial infarction	1551|1544|1545|1636|1559|6579|7153|5243|9429|5742|5743|6532|6530|3352|3351|10599|1576	17	7.000000	16.647059	226
Urinary tract disorder	1551|1559|5243|1565|9429|1576	6	6.500000	8.000000	246
Bradycardia	151|150|153|152|154|43|4986|4988|1562|1565|775|776|779|148|3355|3351|3350|3352|3359|1551|783|5243|8912|6331	24	6.500000	10.416667	249
Hypothermia	151|1129|152|2904|116443|1814|1815|1544|1812|1813|873|3362|3363|4985|1565|147|1133|1132|1131|1816|3354|3356|3351|3350|3352|150|3359|3358|1551|2554|1557|1576	32	9.500000	11.875000	52
Bronchitis	1559|1558|1576|1557|1066	5	7.000000	12.000000	196
Muscle twitching	151|152|6532|3362|6530|6531|1814|1815|1544|1812|1548|3363|6326|4985|4986|4988|1565|1133|3354|3356|3351|3350|3352|3269|3359|3358|1551|1559|18|5243|1576	31	7.000000	8.935484	110
Metrorrhagia	1551|1544|1557|1559|5241|2099|1576	7	29.000000	61.571429	71
Pulmonary function test decreased	1571|2562|4988|213|2561|2560|54600|7363|7364|2890|27032|2554|5742|4985|4986|513|3736|1562|4535|116443	20	17.500000	24.800000	75
Hypotonia	1814|1815|1816|152|1812|150|706|3352|151|316|1565|6326|3356|4985|6331|4986|1551|2550|1576|3358	20	7.000000	10.450000	48
Thrombocytopenia	1633|213|1557|6565|1558|7153|54658|5243|9429|1559|5742|5743|1244|2030|1565|3356|9356	17	7.000000	24.764706	406
Amenorrhoea	1128|150|152|2099|1814|1815|1816|1545|1812|1813|1586|3362|3363|367|1565|148|3354|3356|3350|3352|3269|3359|3358|1551|1557|1558|6462|5241|5243|1576	30	9.500000	29.633333	93
Peptic ulcer	3614|5742|5743|7364|213	5	22.000000	48.000000	70
Parotid gland enlargement	1128|1129|152|155|150|3751|3752|59340|6532|6530|1815|1544|1812|1813|3362|3363|1562|1565|146|147|5004|1133|1132|1131|1816|10280|3356|3351|148|3352|3269|3359|3358|1557|1571|3350	36	6.000000	8.250000	16
Hearing impaired	1551|1633|213|1559|9429|5742|5743|2030|55867|9356	10	6.500000	24.700000	97
Fluid retention	1551|25|1545|1559|5241|1586|5243|9429|1558|2099|1576	11	17.000000	69.000000	110
Biliary colic	4988|1576|4985|1565|4986	5	12.000000	13.600000	20
Speech disorder	1551|1557|5243|3354|3351|6331|3352|1576	8	10.000000	12.250000	89
Urinary hesitation	1128|1129|1133|1132|1131|6532|6530|4985|1565	9	6.000000	7.888889	39
Lymphopenia	1436|2322|2321|2324|3815|3791|5156|9429|6240|5159	10	23.000000	33.500000	38
Polyuria	1551|1557|1559|1558|7363|1565|3354|3352|1576	9	7.000000	10.333333	149
Pancytopenia	6833|7498|1633|9356|1557|7298|1559|7153|1544|5243|978|9429|6565|5742|5743|1244|6240|2944|2950	19	17.000000	18.631579	213
Agranulocytosis	6833|213|762|7153|54600|5742|5743|1544|1812|1813|7364|3362|760|9356|7298|3356|3269|3358|1636|1557|1559|5243|1565|6565|54575	25	12.000000	22.680000	257
Mania	1128|1129|152|150|6532|6530|6531|116444|1814|1815|1544|1812|1813|3362|3363|1565|147|151|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|1551|1557|5243|1576	36	7.000000	9.000000	75
Gastroenteritis	1557|1559|1558|54658|5243|1565|3352|1576	8	7.000000	10.375000	137
Hyperkeratosis	1815|2321|2324|3815|3791|1565|2322|3358	8	15.000000	23.625000	22
Serotonin syndrome	1128|1544|4128|1565|3352|148|3363|3355|3354|3356|6532|3350|6530|4986|3269|3351|6531|3358	18	7.000000	9.777778	27
Blood bilirubin increased	1551|25|1633|3815|7153|5243|9429|1244|5159|1576	10	16.500000	62.000000	87
Crohn's disease	7364|54658|5742|5743|240|5320|5468|55867	8	19.000000	21.875000	9
Dependence	2554|1565|706|6531|2566|6532|4985|6530|4986|4988|1576	11	8.000000	11.272727	23
Oesophagitis	1551|1559|2224|7153|5243|9429|5743|1576	8	11.000000	22.500000	120
Hyperprolactinaemia	1128|150|1816|152|1551|1812|1815|1813|151|148|3358|147|1814|6532|3350|6530|3352|3269|3351|1565|3356	21	7.000000	8.809524	23
Coordination abnormal	1128|1129|152|150|706|6532|6530|6531|1814|1815|1544|4128|1813|3362|3363|6323|1565|147|5004|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3786|3359|3358|1551|2554|1557|3785|1559|5243|6331|1576	41	8.000000	11.682927	109
Cutaneous vasculitis	768|6557|771|762|760|6559|54575|759	8	3.500000	7.875000	20
Drooling	151|150|152|1814|1815|1816|1812|1813|3362|3363|1565|147|1131|148|3354|3356|3350|3352|3269|3359|3358|1576	22	7.500000	8.500000	16
Hiccups	1551|2554|54600|7153|5243|9429|3354|54576|3351|3352|3359|1576	12	7.000000	16.416667	108
Eosinophil count increased	1814|1815|151|152|1812|3352|3358	7	7.000000	7.571429	13
Angle closure glaucoma	1128|1129|1133|1132|1131|148|1565|3356|6532|6530|6531|3269|3358	13	7.000000	7.230769	20
Increased appetite	152|6532|1814|1815|1544|1545|1812|1813|3362|3363|1565|5004|3354|3356|3350|3352|3269|3358|1551|1557|1559|5243|1576	23	7.000000	11.130435	148
Hypokalaemia	1551|5159|3815|5243|978|9429|1576	7	17.000000	30.428571	169
Muscle tightness	1128|1814|151|152|1812|1815|150|1813|148|1565|3356|6532|3350|6530|6531|3269|3352|3358	18	7.500000	9.000000	13
Convulsion	213|1813|134|1565|3352|3362|3358|6531|6530|3356|4985|5243|135|4986|3269|4988|3363|3359|1576|6532|3350	21	8.000000	17.666667	353
Pregnancy test false positive	801|3356|1812|148|1813	5	17.000000	50.400000	8
Vasculitis necrotising	768|6557|771|762|760|6559|759	7	3.000000	5.571429	17
Sneezing	4988|6336|4985|3359|4986	5	7.000000	11.600000	50
Breast discharge	5241|6462|2099|3350|3352	5	51.000000	83.400000	19
Body temperature increased	1551|7498|9356|1557|5004|1559|1544|5243|1565|9429|1576	11	6.000000	10.181818	491
Injury	1551|1557|1559|1558|6579|5243|1565|9429|1244|10599|1576	11	6.000000	8.545455	144
